"hh_id","club_id","tag_club","d_strat1","d_strat2","d_strat3","d_strat4","d_strat5","d_strat6","d_strat7","d_strat8","d_strat9","d_strat10","d_strat11","d_strat12","d_strat13","d_strat14","d_strat15","d_strat16","d_strat17","d_strat18","d_strat19","data_bline","data_svyeline","treatment","t_any","t_anycom","t_anyord","t_com_noR","t_com_RPri","t_com_RPub","t_ord_noR","t_ord_RPri","t_ord_RPub","bl_d_female","bl_d_married","bl_age_099","bl_eduyrs_099","bl_hhnum_099","bl_asset_pca_199","bl_livest_pca_199","bl_acre_adj_099","bl_d_anyformalacc","bl_totsavcash_099","bl_d_hyper","bl_d_hypo","bl_transNet_199","bl_inpexp_099","bl_salecrop_099","bl_mi_d_hyper","bl_mi_totsavcash","clubsize","bl_savcash_099","bl_savform_099","trans_d_any","trans_dep_total_PRE","trans_dep_ord_PRE","trans_dep_splan_PRE","trans_dep_oth_PRE","trans_with_total_PRE","net_total_PRE","net_total_NOVDEC09","net_total_JANAPR10","bal_total_o22","bal_ordkasup_o22","bal_splan_o22","bal_oth_o22","el_landcult_099","el_input_val_099","el_maizetobasale_099","el_mainoutput_099","el_farmprofit_199","el_exp30_099","el_hhsize","el_tobacloan","el_tr_made","el_tr_received","el_tr_net","el_d_fixeddep","d_elineattrit1","has_anyActive_o22"
2217,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,1,0,0,0,0,0,0,1,32,3,6,-0.75574791431427,-0.696755051612854,6.75,0,1200,0,1,-100,25800,210000,0,0,10,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0
2218,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,43,8,7,7.96900606155396,5.08895778656006,12.25,1,5000,0,1,2000,222600,350000,0,0,10,0,5000,1,14.8299989700317,14.8299989700317,0,0,-1225,-1210.17004394531,2.70000004768372,-19.8218765258789,805,805,0,0,9.75,247464.328125,500000,766834,519369.6875,56000,7,170000,17250,0,17250,1,0,1
2214,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,42,8,8,2.84911274909973,0.133867383003235,6,1,500,0,0,5200,59527.453125,278000,0,0,10,0,500,1,307644.59375,257034.046875,50610.5546875,0,-256525,51119.60546875,-50497.9921875,51799.59375,50861,508,50353,0,5.75,85827.875,400000,450843.625,365015.75,17000,8,0,500,0,500,1,0,1
2219,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,46,2,9,-0.891094505786896,-0.223334848880768,3,0,300,0,0,300,4500,78000,0,0,10,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,24100,130000,149852.734375,125752.734375,13400,8,0,0,0,0,1,0,0
2215,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,50,7,9,3.07178974151611,3.44574093818665,9,1,2000,0,0,4000,36150,233000,0,0,10,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,133000,800000,1200786.375,938757.9375,39400,10,0,10750,1000,9750,0,0,0
2216,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,27,6,7,1.38376665115356,-0.155236721038818,9.09999942779541,1,2000,0,0,4800,65925,420000,0,0,10,0,2000,0,20.9099979400635,20.9099979400635,0,0,-1720,-1699.08996582031,3.23000001907349,6.38000011444092,963,963,0,0,4.75,92864.328125,300000,346437.9375,253573.609375,4300,6,135000,2500,0,2500,0,0,1
2213,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,44,7,9,1.89062321186066,1.38886952400208,11,1,1500,0,1,9600,77700,835000,0,0,10,0,1500,1,328694.9375,257840.15625,70854.7734375,0,-257300,71394.9296875,-69682.1328125,24.7899990081787,71034,539,70495,0,6.75,65827.875,818000,945054.375,879226.5,21350,5,0,5201,0,5201,1,0,1
2226,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,30,2,8,0.582197785377502,-0.3299640417099,5,0,0,0,0,15500,38600,70000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38500,180000,214128.78125,175628.78125,11000,7,0,200,0,200,0,0,0
2224,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,29,7,9,-0.281244516372681,1.5861279964447,5,1,2000,0,0,200,19800,96000,0,0,10,1500,500,0,1500,1500,0,0,-1000,500,0,0,500,500,0,0,3.75,50500,180000,203040.53125,152540.53125,11400,11,0,1000,0,1000,0,0,1
2222,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,34,5,8,-0.281244516372681,-0.265893071889877,5,1,200,0,0,0,17300,380000,0,0,10,0,200,0,6.27999973297119,6.27999973297119,0,0,-400,-393.720001220703,-98.5800018310547,-200,612,612,0,0,3.25,46300,2800,34755.53515625,-11544.46484375,7100,6,0,700,0,700,0,0,1
2223,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,36,0,8,-0.891094505786896,-0.251060664653778,2.5,1,200,0,0,0,0,280000,0,0,10,0,200,0,9.6200008392334,9.6200008392334,0,0,0,9.6200008392334,2.42000007629395,4.78000020980835,721,721,0,0,3.5,44777.875,77800,117569.625,72791.75,5300,6,0,6600,0,6600,0,0,1
2220,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,51,8,6,1.19072806835175,0.545975506305695,10,1,0,0,0,5000,45300,500000,0,1,10,1000,,0,121872.296875,121872.296875,0,0,-61575,60297.30078125,-60530.05078125,5.30999994277954,61302,61302,0,0,10,31400,345000,433841.15625,402441.15625,7600,7,0,2650,500,2150,0,0,1
2225,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,47,0,7,-1.42437338829041,-0.542054891586304,3.25,1,0,0,0,0,1200,0,0,0,10,0,0,0,1500,1500,0,0,-1000,500,0,0,500,500,0,0,,,,,,,,,,,,,1,1
2221,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,32,7,7,2.43285322189331,1.70662009716034,6.5,1,15000,0,0,23000,85080,580000,0,0,10,0,15000,0,20.3499984741211,20.3499984741211,0,0,0,20.3499984741211,5.10999965667725,10.1099996566772,1526,1526,0,0,3.5,74400,162000,264730.53125,190330.53125,16800,5,0,2900,0,2900,0,0,1
2230,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,49,8,9,1.83241844177246,3.32297611236572,6.25,1,1500,0,1,2700,9400,110000,0,0,10,500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,188103.53125,139000,172405.59375,-15697.9375,3000,9,116000,600,0,600,0,0,0
2228,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,23,8,9,0.0458209924399853,-0.3299640417099,6.5,0,0,0,0,-5500,56800,135000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,183900,3000,42007.73046875,-141892.265625,37000,10,277555,4000,25000,-21000,0,0,0
2234,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,47,10,9,-0.281244516372681,-0.986779749393463,6.25,0,3000,0,1,39450,2150,214000,0,0,10,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,143778.53125,105003.46875,189622.09375,45843.5625,20000,11,114000,6500,3000,3500,0,0,0
2227,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,46,5,7,0.238782078027725,0.0981086790561676,4.75,0,3000,0,0,1000,3200,330000,0,0,10,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19999980926514,73920.328125,450,46909.1015625,-27011.2265625,3500,8,116000,2400,0,2400,0,0,0
2232,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,36,0,7,-0.416591078042984,-0.842835962772369,8.5,0,1000,0,0,-3600,65365.83984375,64000,0,0,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,127777.875,3000,58100.4453125,-69677.4296875,22500,6,116000,2000,1000,1000,0,0,0
2233,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,54,8,7,3.51420378684998,1.76720404624939,4.5,0,0,0,0,40000,8000,360000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,82387.0390625,330000,381230.25,298843.21875,6600,7,116000,1500,3000,-1500,1,0,0
2231,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,53,8,6,0.0748583748936653,1.30873811244965,5,0,2000,0,1,1400,23300,220000,0,0,10,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,102921.9765625,21100,79605.78125,-23316.1953125,13000,7,120000,8000,0,8000,0,0,0
2229,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,41,7,9,0.169076219201088,0.88799262046814,5,0,6000,0,1,9500,30100,226000,0,0,10,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55000019073486,75712.0703125,0,24727.537109375,-50984.53125,21500,10,116000,1700,5000,-3300,0,0,0
2236,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,56,5,7,3.74685311317444,0.194831788539886,4.5,1,3000,0,0,40000,38500,150000,0,0,10,0,3000,0,0,0,0,0,-300,-300,0,0,6,6,0,0,5,327274.9375,260000,716305.25,389030.3125,54000,5,270000,15500,500,15000,0,0,1
2235,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,28,10,9,2.42215847969055,0.145593240857124,9,1,37000,0,1,7350,36140.921875,669000,0,0,10,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,170023.46875,376800,719142,549118.5,16500,7,256800,12500,0,12500,1,0,0
2238,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,51,3,9,1.98453533649445,3.41006517410278,9,0,0,0,0,6850,39000,439000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,77400,168000,469825.90625,392425.90625,3200,9,0,16250,150,16100,1,0,0
2237,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,36,8,7,0.958492040634155,-0.592262923717499,6,0,0,0,0,1500,10200,89000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,196289,61147,0,135142,3.5,100767.15625,76000,165876.28125,65109.125,8000,6,0,2200,4400,-2200,1,0,1
2239,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,33,11,4,0.206108063459396,-0.222751066088676,4,1,1500,1,0,400,8200,110400,0,0,10,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83718.046875,112000,139357.03125,55638.984375,2800,5,136000,60,1750,-1690,0,0,0
2245,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,22,7,5,-0.88172858953476,-0.596338987350464,3,0,6000,0,0,-1000,6500,48000,0,0,10,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2000,15000,22179.5703125,20179.5703125,6000,4,0,100,500,-400,0,0,0
2247,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,46,2,9,0.32860541343689,0.862134754657745,7,0,3000,0,1,8550,25350,595000,0,0,10,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,18950,314000,560765.875,541815.875,22000,9,0,4250,0,4250,0,0,0
2246,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,64,8,6,2.45052766799927,4.42206382751465,3.25,1,2000,0,0,5000,19420,91000,1,0,10,500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86189.9765625,121000,141975.40625,55785.4296875,2900,3,121000,0,0,0,0,0,0
2248,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,24,8,2,5.15878105163574,5.08895778656006,7.5,0,22000,0,1,-4000,21000,95000,0,0,10,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5000,0,14857.03125,9857.03125,3300,4,0,400,5500,-5100,0,0,0
2242,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,35,6,9,-1.55971992015839,0.0595072582364082,7,0,1000,0,1,2300,9840,66000,0,0,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9200,114000,131144.875,121944.875,4000,8,0,700,1600,-900,0,0,0
2240,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,28,10,4,-1.02644097805023,-0.381141573190689,8,0,3000,0,0,8000,7300,180000,0,0,10,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,700,0,39426.359375,38726.359375,10000,3,0,300,200,100,0,0,0
2241,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,26,10,4,-0.679176926612854,-0.842835962772369,4.25,0,1500,1,0,7000,62940,214000,0,0,10,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9000,52357.39453125,52357.39453125,2450,4,0,0,500,-500,0,0,0
2243,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,41,7,7,-0.2369634360075,1.55250632762909,5,0,10000,0,0,-3400,46000,225000,0,0,10,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69999980926514,77203.5234375,260000,355524.28125,278320.75,6700,7,136000,3950,1050,2900,0,0,0
2244,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,55,2,2,-1.35350656509399,-1.00064265727997,5,0,0,0,0,450,21400,250000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0
4,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,72,8,3,5.4963812828064,-0.313964068889618,6.5,1,1500,0,0,-5000,14700,78000,0,0,10,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0
